id,global_review_id,hash_global_review_id,listing_id,title,is_rating,created,OverAllRating,Value For Money,Ease of Use,Features,Customer Support,Likelihood to recommned,isAnonymous,is_verified,full_name,company_industry,frequency_of_use,time_used,source,incentivized,ReviewDescription_score,Pros_score,Unnamed: 27
13879,GetApp___14383,f7535d1342,90666,The best CRM solution we've found,FALSE,8/25/2015,5,5,5,0,5,0,FALSE,TRUE,Marcus B.,Information Technology and Services,,1-2 years,GetApp,,0.993886769,0.994333982,18505.33333
1283833,SoftwareAdvice___434035,8b72a5b935,90666,Reasonable CRM software for small businesses,FALSE,6/22/2018,4,5,4,4,3,9,FALSE,FALSE,Rushang D.,Marketing and Advertising,daily,2+ years,SoftwareAdvice,NominalGift,0.998566568,0.99880743,1711777.0
841881,Capterra___330384,0d580775b7,90666,"Security certificate warning, basic lists inaccurate, clunky documents, HORRIBLE SUPPORT!",FALSE,12/20/2017,1,1,1,1,1,0,FALSE,FALSE,Julian G.,Computer Hardware,daily,6-12 months,Capterra,NominalGift,0.999743998,0.996420145,1122507.333
1060237,SoftwareAdvice___390950,a36d0ef509,90666,1CRM is a great started CRM for a Service Company,FALSE,4/4/2018,4,5,3,3,3,8,FALSE,FALSE,James C.,Management Consulting,daily,1-2 years,SoftwareAdvice,NominalGift,0.938319802,0.986604214,1413648.333
13939,GetApp___14453,efc7312240,90666,Excellent business management app for the SMB segment,FALSE,8/26/2015,5,5,5,0,5,0,FALSE,TRUE,Jacques G.,Telecommunications,,1-2 years,GetApp,,0.985312879,0.996334434,18584.0
15451,GetApp___16179,1c35aa3a2b,90666,Beyond pure CRM!,FALSE,9/17/2015,5,5,4,0,5,0,FALSE,TRUE,Larry T.,,,1-2 years,GetApp,,0.986507177,0.99590838,20599.66667
113251,SoftwareAdvice___149372,14f46a9556,90666,Quite good but test it carefully for your business flow,FALSE,7/6/2016,4,4,4,3.5,4,8,FALSE,FALSE,Adrian B.,Electrical/Electronic Manufacturing,,2+ years,SoftwareAdvice,,0.851740479,0.989714801,150999.3333
13741,GetApp___14231,0316a64a38,90666,"Every new version, still better!",FALSE,8/24/2015,5,4,5,0,5,0,FALSE,TRUE,Xavier R.,Program Development,,1-2 years,GetApp,,0.933773577,0.977405488,18319.0
13791,GetApp___14287,39016d7144,90666,Not just a CRM,FALSE,8/24/2015,5,5,4,0,4,0,FALSE,TRUE,Paolo V.,Information Technology and Services,,1-2 years,GetApp,,0.953343987,0.662515819,18385.33333
13721,GetApp___14213,13f63ad527,90666,Modules are like a Swiss Army Knife for the Business,FALSE,8/23/2015,5,5,4,0,4,0,FALSE,TRUE,Mike D.,Management Consulting,,1-2 years,GetApp,,0.695071757,0.999058902,18291.66667
1301781,SoftwareAdvice___437237,f1a6a9cfb4,90666,Great software that covers a lot of situations,FALSE,6/27/2018,5,0,4,4,0,9,FALSE,FALSE,Eduardo D.,Telecommunications,daily,2+ years,SoftwareAdvice,NoIncentive,0.792923093,0.957252979,1735704.667
8949,GetApp___8651,408c4ba704,90666,"Great software, great support",FALSE,4/14/2015,5,0,0,0,0,0,FALSE,TRUE,Eduardo D.,Computer & Network Security,,,GetApp,,0.997913659,0.899635911,11928.33333
264451,Capterra___142667,8d9199bf78,90666,Simply the best CRM out there. Couldn't be happier. ,FALSE,9/21/2016,5,5,5,5,5,10,FALSE,FALSE,John B.,Computer Software,daily,2+ years,Capterra,,0.998859167,0.99961096,352597.3333
84559,SoftwareAdvice___74852,ee934030cd,90666,Bruce from MADD Virgin Drinks,FALSE,4/3/2015,5,0,5,5,4.5,10,FALSE,FALSE,Bruce A.,Food & Beverages,,Less than 6 months,SoftwareAdvice,,0.594207942,0.986888885,112741.0
761397,SoftwareAdvice___313796,390a7f4c1b,90666,Amazing support,FALSE,10/24/2017,5,5,5,5,5,10,FALSE,FALSE,marcus y.,Computer Software,daily,2+ years,SoftwareAdvice,NoIncentive,0.99984467,0.976857305,1015191.333
878953,SoftwareAdvice___346141,d2b9256c4b,90666,Easy and loaded with features,FALSE,1/10/2018,5,0,5,5,0,10,FALSE,FALSE,Apple Jiene N.,,daily,6-12 months,SoftwareAdvice,NominalGift,0.984627664,0.996293843,1171932.333
1301447,SoftwareAdvice___437193,a80426575d,90666,"Solid, User Friendly and Great for non-technical people",FALSE,6/27/2018,5,4,5,5,4,9,FALSE,FALSE,Rickus W.,Computer Software,daily,2+ years,SoftwareAdvice,NoIncentive,0.999574721,0.971120834,1735257.333
846217,SoftwareAdvice___341241,ec69ec93a9,90666,Functional & Easy To Use,FALSE,12/22/2017,5,5,5,5,5,10,FALSE,FALSE,Sabrina B.,Management Consulting,daily,1-2 years,SoftwareAdvice,NominalGift,0.999515414,0.999205172,1128283.667
15635,GetApp___16375,c4d539b4e1,90666,Best CRM for Growing Businesses Hands Down!,FALSE,9/17/2015,5,5,5,0,5,0,FALSE,TRUE,Ronny C.,Marketing and Advertising,,1-2 years,GetApp,,0.903614461,0.995137274,20840.66667
766563,SoftwareAdvice___315016,53a9d03c78,90666,Best bang for your buck,FALSE,10/27/2017,5,5,5,4,5,10,FALSE,FALSE,Terry C.,Computer Software,daily,6-12 months,SoftwareAdvice,NoIncentive,0.995381117,0.755809307,1022077.667
1300111,SoftwareAdvice___436897,695de7bb9f,90666,"good CRM, includes all the basics with focus in marketing, sales and customer support.",FALSE,6/27/2018,5,0,4,4,0,8,FALSE,FALSE,Jose R.,Management Consulting,daily,Less than 6 months,SoftwareAdvice,NominalGift,0.997060239,0.984327018,1733474.667
2010985,SoftwareAdvice___533211,70c932dbf5,90666,Best CRM for marketing autmation ,FALSE,12/29/2018,4,4,4,5,4,9,FALSE,FALSE,Shailesh C.,Computer Software,daily,6-12 months,SoftwareAdvice,NominalGift,0.998645246,0.518704236,2681306.333
1080397,SoftwareAdvice___395490,243ec0b6ea,90666,"Excellent application, practical and useful",FALSE,4/11/2018,4,0,4,4,4,8,FALSE,FALSE,Jose L.,Retail,daily,6-12 months,SoftwareAdvice,NominalGift,0.999862075,0.999596298,1440522.0
446785,SoftwareAdvice___246338,8a43fd51ae,90666,"Over-complex product, terrible customer support",FALSE,4/14/2017,1,1,1,1,1,0,FALSE,FALSE,Julian G.,Computer Software,daily,6-12 months,SoftwareAdvice,,0.999471843,0.987388611,595705.6667
1330885,SoftwareAdvice___441933,1992823be5,90666,Reasonable CRM software for small businesses,FALSE,7/9/2018,3,3,4,4,3,5,FALSE,FALSE,Oliver F.,Computer Software,daily,6-12 months,SoftwareAdvice,NominalGift,0.983253658,0.998496056,1774505.333
712893,GetApp___100101,2697b791bb,90666,,TRUE,9/11/2017,5,5,4,5,4,9,FALSE,TRUE,Michael W.,,,2+ years,GetApp,NoIncentive,0.748120904,0.748120904,950515.6667
12431,GetApp___12743,bcbe1a544e,90666,,TRUE,8/3/2015,4,3,4,0,4,0,FALSE,TRUE,Anderson H.,Internet,,6-12 months,GetApp,,0.748120904,0.748120904,16566.0
16607,GetApp___17485,7d32b4bddd,90666,,TRUE,10/1/2015,5,5,5,0,5,0,FALSE,TRUE,San Lin S.,International Trade and Development,,Free Trial,GetApp,,0.748120904,0.748120904,22133.66667
997857,GetApp___128787,dcfb3b6f75,90666,,TRUE,3/13/2018,3,0,3,3,0,0,FALSE,TRUE,Kathy H.,"Leisure, Travel & Tourism",,,GetApp,NominalGift,0.748120904,0.748120904,1330466.667
1322601,SoftwareAdvice___440469,98e3c3a97b,90666,1CRM helped my business,FALSE,7/4/2018,5,5,5,5,5,10,FALSE,FALSE,Gilbert A.,Insurance,daily,Less than 6 months,SoftwareAdvice,NoIncentive,0.844004273,0.988325715,1763458.333
465431,SoftwareAdvice___255182,b2a20e9bd6,90666,CRM is more customisable,FALSE,5/11/2017,3,4,4,3,3,6,FALSE,FALSE,Suresh M.,Electrical/Electronic Manufacturing,daily,1-2 years,SoftwareAdvice,,0.842319548,0.744281411,620564.6667
265201,Capterra___142740,b6c53b02ac,90666,"1CRM - Complete, cost effective and flexible CRM system",FALSE,9/21/2016,5,5,5,5,5,10,FALSE,FALSE,Terry W.,,,,Capterra,,0.990474164,0.995901287,353591.0
679913,SoftwareAdvice___285351,35ca732f72,90666,1CRM for U,FALSE,8/9/2017,4,4,4,4,3,6,FALSE,FALSE,Viveka K.,Computer Software,daily,Less than 6 months,SoftwareAdvice,NominalGift,0.998485029,0.996887743,906540.0
689755,SoftwareAdvice___290135,8692923be4,90666,Essential software if you want to build sustainable business.,FALSE,8/17/2017,5,4,4,5,0,9,FALSE,FALSE,Hristo K.,Medical Practice,daily,Less than 6 months,SoftwareAdvice,NominalGift,0.999042332,0.994401157,919662.3333
419905,SoftwareAdvice___237564,4ef6e97ae8,90666,Great value for the features,FALSE,3/14/2017,5,5,5,4,4,9,FALSE,FALSE,Deborah B.,Insurance,weekly,1-2 years,SoftwareAdvice,,0.998237252,0.995225906,559862.0
62861,SoftwareAdvice___23404,fa7d4a4bd5,90666,Complete solution with great value,FALSE,1/10/2014,5,0,4.5,4.5,5,9,FALSE,FALSE,Eduardo D.,Management Consulting,,,SoftwareAdvice,,0.999859333,0.993132174,83803.0
121919,SoftwareAdvice___173004,f725e74f19,90666,,FALSE,9/3/2013,4,0,5,4,3,0,FALSE,FALSE,Jacky D.,,,,SoftwareAdvice,,0.996057153,0.748120904,162546.6667
1843023,Capterra___1188356,0b9bd81cf3,90666,1CRM software review ,FALSE,11/22/2018,5,0,5,4,0,7,FALSE,FALSE,Phoa D.,Accounting,weekly,6-12 months,Capterra,NominalGift,0.912010431,0.702503443,2457351.667
1647,GetApp___2195,1b55896752,90666,excellent value,FALSE,11/19/2012,5,0,0,0,0,0,FALSE,FALSE,happyuser77 ,,,,GetApp,,0.999511123,0.748120904,2183.333333
1632623,SoftwareAdvice___484153,3413216ed2,90666,An easy to use CRM when you are a beginner,FALSE,10/3/2018,4,0,4,4,0,8,FALSE,FALSE,Alin I.,,monthly,1-2 years,SoftwareAdvice,NominalGift,0.875130832,0.978914261,2176817.667
297585,Capterra___162646,a9c9a9a947,90666,Complete and flexible CRM at a great price,FALSE,11/14/2016,4,4,5,5,5,0,FALSE,FALSE,Fred P.,,,,Capterra,,0.999734819,0.995193779,396766.6667
